"filename", "language", "JSON with Comments", "TypeScript", "SCSS", "TypeScript JSX", "XML", "Markdown", "Properties", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\1more.attempt\Desktop\skilla-test-task\.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\1more.attempt\Desktop\skilla-test-task\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"c:\Users\1more.attempt\Desktop\skilla-test-task\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 18371, 0, 0, 1, 18372
"c:\Users\1more.attempt\Desktop\skilla-test-task\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\1more.attempt\Desktop\skilla-test-task\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\1more.attempt\Desktop\skilla-test-task\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\1more.attempt\Desktop\skilla-test-task\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\App.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\api\api-url.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\api\api.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\api\endpoints\callRecord.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\api\endpoints\calls.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 5, 96
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\api\endpoints\index.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\components\audio-player\audio-player-types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\components\audio-player\audio-player.module.scss", "SCSS", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 7, 84
"c:\Users\1more.attempt\Desktop\skilla-test-task\src\components\audio-player\audio-player.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 3, 93
